nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
10855,A,Sainte-Catherine,Q-S-W-Y,-73.552780124940099000,45.522235000546466000,Régulier Payez-Partez
10856,A,Sainte-Catherine,Q-S-W-Y,-73.552110596376409000,45.522989091623280000,Régulier Payez-Partez
10857,A,Sainte-Catherine,Q-S-W-Y,-73.551158540363701000,45.524041885567556000,Régulier Payez-Partez
10875,A,René-Lévesque,Q-S-W-Y,-73.552813757225564000,45.518436030243109000,Régulier Payez-Partez
10876,A,René-Lévesque,Q-S-W-Y,-73.551979328147468000,45.519333348576559000,Régulier Payez-Partez
10877,A,Notre-Dame,Q-V-W-Y,-73.547572770421127000,45.519112222053536000,Régulier Payez-Partez
10879,A,Wolfe,Q-S-W-Y,-73.552898693312798000,45.516122041380122000,Régulier Payez-Partez
10880,A,Cartier,Q-S-W-Y,-73.552670825385704000,45.523612408424157000,Régulier Payez-Partez
10882,A,Atateken (Amherst),PC-PD-S-W,-73.563874582692080000,45.520519626446827000,Régulier Payez-Partez
10884,A,Atateken (Amherst),Q-S-W-Y,-73.561955993150903000,45.519622127811935000,Régulier Payez-Partez
10885,A,Atateken (Amherst),Q-S-W-Y,-73.559970203821663000,45.518707380687765000,Régulier Payez-Partez
10887,A,Atateken (Amherst),Q-S-W-Y,-73.557812398749775000,45.517705593740359000,Régulier Payez-Partez
10889,A,Atateken (Amherst),Q-S-W-Y,-73.556174727890379000,45.516961410272145000,Régulier Payez-Partez
10890,A,Atateken (Amherst),Q-S-W-Y,-73.553844758041663000,45.515904621072544000,Régulier Payez-Partez
10892,A,Atateken (Amherst),PC-PD-S-W,-73.563508336947777000,45.520486873501433000,Régulier Payez-Partez
10893,A,Atateken (Amherst),Q-S-W-Y,-73.562103673128036000,45.519843915175308000,Régulier Payez-Partez
10894,A,Atateken (Amherst),Q-S-W-Y,-73.561146484390363000,45.519404237991466000,Régulier Payez-Partez
10895,A,Atateken (Amherst),Q-S-W-Y,-73.559887012158441000,45.518824475590002000,Régulier Payez-Partez
10896,A,Atateken (Amherst),Q-S-W-Y,-73.558936375138487000,45.518392061750568000,Régulier Payez-Partez
10897,A,Atateken (Amherst),Q-S-W-Y,-73.557809808937577000,45.517876456803037000,Régulier Payez-Partez
10898,A,Atateken (Amherst),Q-S-W-Y,-73.556042306944519000,45.517082568447890000,Régulier Payez-Partez
11000,A,Atateken (Amherst),Q-S-W-Y,-73.553267549145829000,45.515820301935733000,Régulier Payez-Partez
11005,A,Papineau,Q-S-W-Y,-73.558795423448927000,45.525662837696764000,Régulier Payez-Partez
11006,A,Papineau,Q-S-W-Y,-73.551717097641770000,45.522209675461880000,Régulier Payez-Partez
11007,A,Papineau,Q-S-W-Y,-73.550113316562033000,45.521464790746244000,Régulier Payez-Partez
11012,A,Côte-des-Neiges,T-U-X-Z,-73.636894297006322000,45.503076412811126000,Régulier Payez-Partez
11015,A,Barclay,T-U-X-Z,-73.635922784690820000,45.502362074079244000,Régulier Payez-Partez
11016,A,Barclay,T-U-X-Z,-73.635623576150934000,45.502557974631095000,Régulier Payez-Partez
11017,A,Côte-des-Neiges,T-U-X-Z,-73.634992665601530000,45.502203836611017000,Régulier Payez-Partez
11020,A,Côte-des-Neiges,T-U-X-Z,-73.633840452041028000,45.501495766292834000,Régulier Payez-Partez
11022,A,Côte-des-Neiges,T-U-X-Z,-73.633830866720828000,45.501700881589116000,Régulier Payez-Partez
11023,A,Côte-des-Neiges,T-U-X-Z,-73.632895498644430000,45.501072298483749000,Régulier Payez-Partez
11025,A,Van Horne,T-U-X-Z,-73.631793868932760000,45.501142954626431000,Régulier Payez-Partez
11026,A,Côte-des-Neiges,T-U-X-Z,-73.631771097537737000,45.500568103561854000,Régulier Payez-Partez
11029,A,Côte-des-Neiges,T-U-X-Z,-73.630622204724347000,45.500069437428657000,Régulier Payez-Partez
11030,A,Linton,T-U-X-Z,-73.630777656919548000,45.500365766998819000,Régulier Payez-Partez
11033,A,Côte-des-Neiges,T-U-X-Z,-73.629707002618730000,45.499633741216911000,Régulier Payez-Partez
11034,A,Côte-des-Neiges,T-U-X-Z,-73.628414816795086000,45.499046667425844000,Régulier Payez-Partez
11035,A,Côte-des-Neiges,T-U-X-Z,-73.629001965811057000,45.499523681852182000,Régulier Payez-Partez
11036,A,Côte-des-Neiges,T-U-X-Z,-73.627753284618876000,45.498951755801194000,Régulier Payez-Partez
11037,A,Côte-des-Neiges,T-U-X-Z,-73.627322329253957000,45.498469785736333000,Régulier Payez-Partez
11038,A,Dupuis,T-U-X-Z,-73.626508030402405000,45.498027643356295000,Régulier Payez-Partez
11039,A,Côte-des-Neiges,T-U-X-Z,-73.625447257808673000,45.497655782934849000,Régulier Payez-Partez
11041,A,Edouard-Montpetit,T-U-X-Z,-73.624480113611952000,45.497152343442245000,Régulier Payez-Partez
11043,A,Côte-des-Neiges,T-U-X-Z,-73.626177207754168000,45.498156929048413000,Régulier Payez-Partez
11044,A,Côte-des-Neiges,T-U-X-Z,-73.624458524534546000,45.497388872957629000,Régulier Payez-Partez
11047,A,Côte-des-Neiges,T-U-X-Z,-73.623213049046157000,45.496664111954423000,Régulier Payez-Partez
11048,A,Côte-des-Neiges,T-U-X-Z,-73.622313532169883000,45.496438029864841000,Régulier Payez-Partez
11049,A,Jean-Brillant,T-U-X-Z,-73.621939171414894000,45.495978063724238000,Régulier Payez-Partez
11050,A,Côte-des-Neiges,T-U-X-Z,-73.621109051138689000,45.495725091593762000,Régulier Payez-Partez
11051,A,Côte-des-Neiges,T-U-X-Z,-73.619809499799018000,45.495145588010388000,Régulier Payez-Partez
11052,A,Côte-des-Neiges,T-U-X-Z,-73.620342584850633000,45.495561404628461000,Régulier Payez-Partez
11054,A,Côte-des-Neiges,T-U-X-Z,-73.619224438864975000,45.495224364707177000,Régulier Payez-Partez
11055,A,Côte-des-Neiges,T-U-X-Z,-73.618793079005442000,45.494752519599537000,Régulier Payez-Partez
11058,A,Lacombe,T-U-X-Z,-73.622930047578635000,45.497252089723673000,Régulier Payez-Partez
